Code.or.Value	Value.Description	Variable.Name
.	Missing	MIAINTRP
1	English	MIALANG
2	Spanish	MIALANG
.	Missing	MIALANG
1	Yes	MIAPROXY
2	No	MIAPROXY
.	Missing	MIAPROXY
1	Male	RIAGENDR
2	Female	RIAGENDR
.	Missing	RIAGENDR
0 to 24	Range of Values	RIDAGEMN
.	Missing	RIDAGEMN
0 to 79	Range of Values	RIDAGEYR
80	80 years of age and over	RIDAGEYR
.	Missing	RIDAGEYR
0 to 239	Range of Values	RIDEXAGM
.	Missing	RIDEXAGM
2 to 20	Range of Values	RIDEXAGY
.	Missing	RIDEXAGY
1	November 1 through April 30	RIDEXMON
2	May 1 through October 31	RIDEXMON
.	Missing	RIDEXMON
1	Yes, positive lab pregnancy test or self-reported pregnant at exam	RIDEXPRG
2	The participant was not pregnant at exam	RIDEXPRG
3	Cannot ascertain if the participant is pregnant at exam	RIDEXPRG
.	Missing	RIDEXPRG
1	Mexican American	RIDRETH1
2	Other Hispanic	RIDRETH1
3	Non-Hispanic White	RIDRETH1
4	Non-Hispanic Black	RIDRETH1
5	Other Race - Including Multi-Racial	RIDRETH1
.	Missing	RIDRETH1
1	Mexican American	RIDRETH3
2	Other Hispanic	RIDRETH3
3	Non-Hispanic White	RIDRETH3
4	Non-Hispanic Black	RIDRETH3
6	Non-Hispanic Asian	RIDRETH3
7	Other Race - Including Multi-Racial	RIDRETH3
.	Missing	RIDRETH3
1	Interviewed only	RIDSTATR
2	Both interviewed and MEC examined	RIDSTATR
.	Missing	RIDSTATR
7	NHANES 2011-2012 public release	SDDSRVYR
.	Missing	SDDSRVYR
1 to 3	Range of Values	SDMVPSU
.	Missing	SDMVPSU
90 to 103	Range of Values	SDMVSTRA
.	Missing	SDMVSTRA
1	Yes	SIAINTRP
2	No	SIAINTRP
.	Missing	SIAINTRP
1	English	SIALANG
2	Spanish	SIALANG
.	Missing	SIALANG
1	Yes	SIAPROXY
2	No	SIAPROXY
.	Missing	SIAPROXY
3320.8855 to 220233.3152	Range of Values	WTINT2YR
.	Missing	WTINT2YR
0 to 222579.78343	Range of Values	WTMEC2YR
.	Missing	WTMEC2YR
1	Home Interview (20+ Yrs)	SMAQUEX2
2	A-CASI (12 - 19 Yrs)	SMAQUEX2
.	Missing	SMAQUEX2
6 to 72	Range of Values	SMD030
0	Never smoked cigarettes regularly	SMD030
80	80 years or older	SMD030
777	Refused	SMD030
999	Don't know	SMD030
.	Missing	SMD030
13 to 78	Range of Values	SMD055
80	80 years or older	SMD055
777	Refused	SMD055
999	Don't know	SMD055
.	Missing	SMD055
2 to 90	Range of Values	SMD057
1	1 cigarette or less	SMD057
95	95 cigarettes or more	SMD057
777	Refused	SMD057
999	Don't know	SMD057
.	Missing	SMD057
1	Yes	SMD093
2	No	SMD093
3	No usual brand	SMD093
4	Rolls own	SMD093
7	Refused	SMD093
9	Don't know	SMD093
.	Missing	SMD093
Cigarette Brand/sub-brand	Value was recorded	SMD100BR
< blank >	Missing	SMD100BR
3 to 20	Range of Values	SMD100CO
.	Missing	SMD100CO
0	Non-filter	SMD100FL
1	Filter	SMD100FL
.	Missing	SMD100FL
1	Regular (68-72 mm)	SMD100LN
2	King (79-88 mm)	SMD100LN
3	Long (94-101 mm)	SMD100LN
4	Ultra long (110-121 mm)	SMD100LN
.	Missing	SMD100LN
0	Non-menthol	SMD100MN
1	Menthol	SMD100MN
.	Missing	SMD100MN
0.1 to 1.9	Range of Values	SMD100NI
.	Missing	SMD100NI
2 to 20	Range of Values	SMD100TR
.	Missing	SMD100TR
7 to 19	Range of Values	SMD630
6	6 years or less	SMD630
77	Refused	SMD630
99	Don't know	SMD630
.	Missing	SMD630
0 to 30	Range of Values	SMD641
77	Refused	SMD641
99	Don't know	SMD641
.	Missing	SMD641
2 to 80	Range of Values	SMD650
1	1 cigarette or less	SMD650
95	95 cigarettes or more	SMD650
777	Refused	SMD650
999	Don't know	SMD650
.	Missing	SMD650
Cig 12-digit Universal Product Code-UPC	Value was recorded	SMDUPCA
< blank >	Missing	SMDUPCA
1	Yes	SMQ020
2	No	SMQ020
7	Refused	SMQ020
9	Don't know	SMQ020
.	Missing	SMQ020
1	Every day	SMQ040
2	Some days	SMQ040
3	Not at all	SMQ040
7	Refused	SMQ040
9	Don't know	SMQ040
.	Missing	SMQ040
1 to 193	Range of Values	SMQ050Q
77777	Refused	SMQ050Q
99999	Don't know	SMQ050Q
.	Missing	SMQ050Q
1	Days	SMQ050U
2	Weeks	SMQ050U
3	Months	SMQ050U
4	Years	SMQ050U
7	Refused	SMQ050U
9	Don't know	SMQ050U
.	Missing	SMQ050U
1	Within 5 minutes	SMQ077
2	From 6 to 30 minutes	SMQ077
3	From more than 30 minutes to one hour	SMQ077
4	More than one hour	SMQ077
7	Refused	SMQ077
9	Don't know	SMQ077
.	Missing	SMQ077
1	I have never smoked, not even a puff	SMQ621
2	1 or more puffs but never a whole cigarette	SMQ621
3	1 cigarette	SMQ621
4	2 to 5 cigarettes	SMQ621
5	6 to 15 cigarettes	SMQ621
6	16 to 25 cigarettes	SMQ621
7	26 to 99 cigarettes	SMQ621
8	100 or more cigarettes	SMQ621
77	Refused	SMQ621
99	Don't know	SMQ621
.	Missing	SMQ621
1	Marlboro	SMQ660
2	Camel	SMQ660
3	Newport	SMQ660
4	Kool	SMQ660
5	Winston	SMQ660
6	Benson and hedges	SMQ660
7	Salem	SMQ660
8	Some other brand	SMQ660
77	Refused	SMQ660
99	Don't know	SMQ660
.	Missing	SMQ660
1	Menthol	SMQ664B
2	Non-menthol	SMQ664B
7	Refused	SMQ664B
9	Don't know	SMQ664B
.	Missing	SMQ664B
1	Menthol	SMQ664C
2	Non-menthol	SMQ664C
7	Refused	SMQ664C
9	Don't know	SMQ664C
.	Missing	SMQ664C
1	Menthol	SMQ664M
2	Non-menthol	SMQ664M
7	Refused	SMQ664M
9	Don't know	SMQ664M
.	Missing	SMQ664M
1	Menthol	SMQ664O
2	Non-menthol	SMQ664O
7	Refused	SMQ664O
9	Don't know	SMQ664O
.	Missing	SMQ664O
1	Menthol	SMQ664W
2	Non-menthol	SMQ664W
7	Refused	SMQ664W
9	Don't know	SMQ664W
.	Missing	SMQ664W
1	Yes	SMQ670
2	No	SMQ670
7	Refused	SMQ670
9	Don't know	SMQ670
.	Missing	SMQ670
1	Yes	OHDEXCLU
2	No	OHDEXCLU
.	Missing	OHDEXCLU
1	Complete	OHDEXSTS
2	Partial	OHDEXSTS
3	Not Done	OHDEXSTS
.	Missing	OHDEXSTS
1	Complete	OHDPDSTS
2	Partial	OHDPDSTS
3	Not Done	OHDPDSTS
.	Missing	OHDPDSTS
-11 to 2	Range of Values	OHX02CJA
99	Cannot be assessed	OHX02CJA
.	Missing	OHX02CJA
-10 to 1	Range of Values	OHX02CJD
99	Cannot be assessed	OHX02CJD
.	Missing	OHX02CJD
-11 to 2	Range of Values	OHX02CJL
99	Cannot be assessed	OHX02CJL
.	Missing	OHX02CJL
-10 to 1	Range of Values	OHX02CJM
99	Cannot be assessed	OHX02CJM
.	Missing	OHX02CJM
-8 to 2	Range of Values	OHX02CJP
99	Cannot be assessed	OHX02CJP
.	Missing	OHX02CJP
-11 to 2	Range of Values	OHX02CJS
99	Cannot be assessed	OHX02CJS
.	Missing	OHX02CJS
0 to 13	Range of Values	OHX02LAA
99	Cannot be assessed	OHX02LAA
.	Missing	OHX02LAA
0 to 12	Range of Values	OHX02LAD
99	Cannot be assessed	OHX02LAD
.	Missing	OHX02LAD
0 to 12	Range of Values	OHX02LAL
99	Cannot be assessed	OHX02LAL
.	Missing	OHX02LAL
0 to 12	Range of Values	OHX02LAM
99	Cannot be assessed	OHX02LAM
.	Missing	OHX02LAM
0 to 11	Range of Values	OHX02LAP
99	Cannot be assessed	OHX02LAP
.	Missing	OHX02LAP
0 to 11	Range of Values	OHX02LAS
99	Cannot be assessed	OHX02LAS
.	Missing	OHX02LAS
0 to 8	Range of Values	OHX02PCA
99	Cannot be assessed	OHX02PCA
.	Missing	OHX02PCA
0 to 8	Range of Values	OHX02PCD
99	Cannot be assessed	OHX02PCD
.	Missing	OHX02PCD
0 to 6	Range of Values	OHX02PCL
99	Cannot be assessed	OHX02PCL
.	Missing	OHX02PCL
0 to 7	Range of Values	OHX02PCM
99	Cannot be assessed	OHX02PCM
.	Missing	OHX02PCM
0 to 9	Range of Values	OHX02PCP
99	Cannot be assessed	OHX02PCP
.	Missing	OHX02PCP
0 to 8	Range of Values	OHX02PCS
99	Cannot be assessed	OHX02PCS
.	Missing	OHX02PCS
-8 to 2	Range of Values	OHX03CJA
99	Cannot be assessed	OHX03CJA
.	Missing	OHX03CJA
-9 to 2	Range of Values	OHX03CJD
99	Cannot be assessed	OHX03CJD
.	Missing	OHX03CJD
-12 to 1	Range of Values	OHX03CJL
99	Cannot be assessed	OHX03CJL
.	Missing	OHX03CJL
-10 to 1	Range of Values	OHX03CJM
99	Cannot be assessed	OHX03CJM
.	Missing	OHX03CJM
-10 to 2	Range of Values	OHX03CJP
99	Cannot be assessed	OHX03CJP
.	Missing	OHX03CJP
-8 to 2	Range of Values	OHX03CJS
99	Cannot be assessed	OHX03CJS
.	Missing	OHX03CJS
0 to 11	Range of Values	OHX03LAA
99	Cannot be assessed	OHX03LAA
.	Missing	OHX03LAA
0 to 11	Range of Values	OHX03LAD
99	Cannot be assessed	OHX03LAD
.	Missing	OHX03LAD
0 to 14	Range of Values	OHX03LAL
99	Cannot be assessed	OHX03LAL
.	Missing	OHX03LAL
0 to 11	Range of Values	OHX03LAM
99	Cannot be assessed	OHX03LAM
.	Missing	OHX03LAM
0 to 12	Range of Values	OHX03LAP
99	Cannot be assessed	OHX03LAP
.	Missing	OHX03LAP
0 to 10	Range of Values	OHX03LAS
99	Cannot be assessed	OHX03LAS
.	Missing	OHX03LAS
0 to 8	Range of Values	OHX03PCA
99	Cannot be assessed	OHX03PCA
.	Missing	OHX03PCA
0 to 9	Range of Values	OHX03PCD
99	Cannot be assessed	OHX03PCD
.	Missing	OHX03PCD
0 to 5	Range of Values	OHX03PCL
99	Cannot be assessed	OHX03PCL
.	Missing	OHX03PCL
0 to 8	Range of Values	OHX03PCM
99	Cannot be assessed	OHX03PCM
.	Missing	OHX03PCM
0 to 8	Range of Values	OHX03PCP
99	Cannot be assessed	OHX03PCP
.	Missing	OHX03PCP
0 to 8	Range of Values	OHX03PCS
99	Cannot be assessed	OHX03PCS
.	Missing	OHX03PCS
-6 to 3	Range of Values	OHX04CJA
99	Cannot be assessed	OHX04CJA
.	Missing	OHX04CJA
-8 to 2	Range of Values	OHX04CJD
99	Cannot be assessed	OHX04CJD
.	Missing	OHX04CJD
-8 to 3	Range of Values	OHX04CJL
99	Cannot be assessed	OHX04CJL
.	Missing	OHX04CJL
-8 to 1	Range of Values	OHX04CJM
99	Cannot be assessed	OHX04CJM
.	Missing	OHX04CJM
-8 to 2	Range of Values	OHX04CJP
99	Cannot be assessed	OHX04CJP
.	Missing	OHX04CJP
-8 to 2	Range of Values	OHX04CJS
99	Cannot be assessed	OHX04CJS
.	Missing	OHX04CJS
0 to 10	Range of Values	OHX04LAA
99	Cannot be assessed	OHX04LAA
.	Missing	OHX04LAA
0 to 10	Range of Values	OHX04LAD
99	Cannot be assessed	OHX04LAD
.	Missing	OHX04LAD
0 to 10	Range of Values	OHX04LAL
99	Cannot be assessed	OHX04LAL
.	Missing	OHX04LAL
0 to 9	Range of Values	OHX04LAM
99	Cannot be assessed	OHX04LAM
.	Missing	OHX04LAM
0 to 10	Range of Values	OHX04LAP
99	Cannot be assessed	OHX04LAP
.	Missing	OHX04LAP
0 to 11	Range of Values	OHX04LAS
99	Cannot be assessed	OHX04LAS
.	Missing	OHX04LAS
0 to 8	Range of Values	OHX04PCA
99	Cannot be assessed	OHX04PCA
.	Missing	OHX04PCA
0 to 8	Range of Values	OHX04PCD
99	Cannot be assessed	OHX04PCD
.	Missing	OHX04PCD
0 to 8	Range of Values	OHX04PCL
99	Cannot be assessed	OHX04PCL
.	Missing	OHX04PCL
0 to 6	Range of Values	OHX04PCM
99	Cannot be assessed	OHX04PCM
.	Missing	OHX04PCM
0 to 7	Range of Values	OHX04PCP
99	Cannot be assessed	OHX04PCP
.	Missing	OHX04PCP
0 to 8	Range of Values	OHX04PCS
99	Cannot be assessed	OHX04PCS
.	Missing	OHX04PCS
-7 to 2	Range of Values	OHX05CJA
99	Cannot be assessed	OHX05CJA
.	Missing	OHX05CJA
-8 to 2	Range of Values	OHX05CJD
99	Cannot be assessed	OHX05CJD
.	Missing	OHX05CJD
-8 to 1	Range of Values	OHX05CJL
99	Cannot be assessed	OHX05CJL
.	Missing	OHX05CJL
-10 to 1	Range of Values	OHX05CJM
99	Cannot be assessed	OHX05CJM
.	Missing	OHX05CJM
-8 to 3	Range of Values	OHX05CJP
99	Cannot be assessed	OHX05CJP
.	Missing	OHX05CJP
-8 to 2	Range of Values	OHX05CJS
99	Cannot be assessed	OHX05CJS
.	Missing	OHX05CJS
0 to 11	Range of Values	OHX05LAA
99	Cannot be assessed	OHX05LAA
.	Missing	OHX05LAA
0 to 11	Range of Values	OHX05LAD
99	Cannot be assessed	OHX05LAD
.	Missing	OHX05LAD
0 to 11	Range of Values	OHX05LAL
99	Cannot be assessed	OHX05LAL
.	Missing	OHX05LAL
0 to 12	Range of Values	OHX05LAM
99	Cannot be assessed	OHX05LAM
.	Missing	OHX05LAM
0 to 12	Range of Values	OHX05LAP
99	Cannot be assessed	OHX05LAP
.	Missing	OHX05LAP
0 to 13	Range of Values	OHX05LAS
99	Cannot be assessed	OHX05LAS
.	Missing	OHX05LAS
0 to 8	Range of Values	OHX05PCA
99	Cannot be assessed	OHX05PCA
.	Missing	OHX05PCA
0 to 7	Range of Values	OHX05PCD
99	Cannot be assessed	OHX05PCD
.	Missing	OHX05PCD
0 to 8	Range of Values	OHX05PCL
99	Cannot be assessed	OHX05PCL
.	Missing	OHX05PCL
0 to 6	Range of Values	OHX05PCM
99	Cannot be assessed	OHX05PCM
.	Missing	OHX05PCM
0 to 8	Range of Values	OHX05PCP
99	Cannot be assessed	OHX05PCP
.	Missing	OHX05PCP
0 to 11	Range of Values	OHX05PCS
99	Cannot be assessed	OHX05PCS
.	Missing	OHX05PCS
-8 to 2	Range of Values	OHX06CJA
99	Cannot be assessed	OHX06CJA
.	Missing	OHX06CJA
-11 to 2	Range of Values	OHX06CJD
99	Cannot be assessed	OHX06CJD
.	Missing	OHX06CJD
-10 to 2	Range of Values	OHX06CJL
99	Cannot be assessed	OHX06CJL
.	Missing	OHX06CJL
-11 to 2	Range of Values	OHX06CJM
99	Cannot be assessed	OHX06CJM
.	Missing	OHX06CJM
-10 to 2	Range of Values	OHX06CJP
99	Cannot be assessed	OHX06CJP
.	Missing	OHX06CJP
-11 to 3	Range of Values	OHX06CJS
99	Cannot be assessed	OHX06CJS
.	Missing	OHX06CJS
0 to 13	Range of Values	OHX06LAA
99	Cannot be assessed	OHX06LAA
.	Missing	OHX06LAA
0 to 17	Range of Values	OHX06LAD
99	Cannot be assessed	OHX06LAD
.	Missing	OHX06LAD
0 to 14	Range of Values	OHX06LAL
99	Cannot be assessed	OHX06LAL
.	Missing	OHX06LAL
0 to 16	Range of Values	OHX06LAM
99	Cannot be assessed	OHX06LAM
.	Missing	OHX06LAM
0 to 14	Range of Values	OHX06LAP
99	Cannot be assessed	OHX06LAP
.	Missing	OHX06LAP
0 to 17	Range of Values	OHX06LAS
99	Cannot be assessed	OHX06LAS
.	Missing	OHX06LAS
0 to 9	Range of Values	OHX06PCA
99	Cannot be assessed	OHX06PCA
.	Missing	OHX06PCA
0 to 12	Range of Values	OHX06PCD
99	Cannot be assessed	OHX06PCD
.	Missing	OHX06PCD
0 to 8	Range of Values	OHX06PCL
99	Cannot be assessed	OHX06PCL
.	Missing	OHX06PCL
0 to 6	Range of Values	OHX06PCM
99	Cannot be assessed	OHX06PCM
.	Missing	OHX06PCM
0 to 8	Range of Values	OHX06PCP
99	Cannot be assessed	OHX06PCP
.	Missing	OHX06PCP
0 to 10	Range of Values	OHX06PCS
99	Cannot be assessed	OHX06PCS
.	Missing	OHX06PCS
-6 to 3	Range of Values	OHX07CJA
99	Cannot be assessed	OHX07CJA
.	Missing	OHX07CJA
-6 to 3	Range of Values	OHX07CJD
99	Cannot be assessed	OHX07CJD
.	Missing	OHX07CJD
-6 to 2	Range of Values	OHX07CJL
99	Cannot be assessed	OHX07CJL
.	Missing	OHX07CJL
-8 to 2	Range of Values	OHX07CJM
99	Cannot be assessed	OHX07CJM
.	Missing	OHX07CJM
-5 to 2	Range of Values	OHX07CJP
99	Cannot be assessed	OHX07CJP
.	Missing	OHX07CJP
-8 to 2	Range of Values	OHX07CJS
99	Cannot be assessed	OHX07CJS
.	Missing	OHX07CJS
0 to 12	Range of Values	OHX07LAA
99	Cannot be assessed	OHX07LAA
.	Missing	OHX07LAA
0 to 12	Range of Values	OHX07LAD
99	Cannot be assessed	OHX07LAD
.	Missing	OHX07LAD
0 to 12	Range of Values	OHX07LAL
99	Cannot be assessed	OHX07LAL
.	Missing	OHX07LAL
0 to 10	Range of Values	OHX07LAM
99	Cannot be assessed	OHX07LAM
.	Missing	OHX07LAM
0 to 10	Range of Values	OHX07LAP
99	Cannot be assessed	OHX07LAP
.	Missing	OHX07LAP
0 to 11	Range of Values	OHX07LAS
99	Cannot be assessed	OHX07LAS
.	Missing	OHX07LAS
0 to 8	Range of Values	OHX07PCA
99	Cannot be assessed	OHX07PCA
.	Missing	OHX07PCA
0 to 11	Range of Values	OHX07PCD
99	Cannot be assessed	OHX07PCD
.	Missing	OHX07PCD
0 to 8	Range of Values	OHX07PCL
99	Cannot be assessed	OHX07PCL
.	Missing	OHX07PCL
0 to 6	Range of Values	OHX07PCM
99	Cannot be assessed	OHX07PCM
.	Missing	OHX07PCM
0 to 10	Range of Values	OHX07PCP
99	Cannot be assessed	OHX07PCP
.	Missing	OHX07PCP
0 to 7	Range of Values	OHX07PCS
99	Cannot be assessed	OHX07PCS
.	Missing	OHX07PCS
-8 to 2	Range of Values	OHX08CJA
99	Cannot be assessed	OHX08CJA
.	Missing	OHX08CJA
-8 to 2	Range of Values	OHX08CJD
99	Cannot be assessed	OHX08CJD
.	Missing	OHX08CJD
-7 to 2	Range of Values	OHX08CJL
99	Cannot be assessed	OHX08CJL
.	Missing	OHX08CJL
-8 to 1	Range of Values	OHX08CJM
99	Cannot be assessed	OHX08CJM
.	Missing	OHX08CJM
-8 to 2	Range of Values	OHX08CJP
99	Cannot be assessed	OHX08CJP
.	Missing	OHX08CJP
-8 to 2	Range of Values	OHX08CJS
99	Cannot be assessed	OHX08CJS
.	Missing	OHX08CJS
0 to 11	Range of Values	OHX08LAA
99	Cannot be assessed	OHX08LAA
.	Missing	OHX08LAA
0 to 12	Range of Values	OHX08LAD
99	Cannot be assessed	OHX08LAD
.	Missing	OHX08LAD
0 to 11	Range of Values	OHX08LAL
99	Cannot be assessed	OHX08LAL
.	Missing	OHX08LAL
0 to 11	Range of Values	OHX08LAM
99	Cannot be assessed	OHX08LAM
.	Missing	OHX08LAM
0 to 10	Range of Values	OHX08LAP
99	Cannot be assessed	OHX08LAP
.	Missing	OHX08LAP
0 to 15	Range of Values	OHX08LAS
99	Cannot be assessed	OHX08LAS
.	Missing	OHX08LAS
0 to 8	Range of Values	OHX08PCA
99	Cannot be assessed	OHX08PCA
.	Missing	OHX08PCA
0 to 7	Range of Values	OHX08PCD
99	Cannot be assessed	OHX08PCD
.	Missing	OHX08PCD
0 to 7	Range of Values	OHX08PCL
99	Cannot be assessed	OHX08PCL
.	Missing	OHX08PCL
0 to 7	Range of Values	OHX08PCM
99	Cannot be assessed	OHX08PCM
.	Missing	OHX08PCM
0 to 8	Range of Values	OHX08PCP
99	Cannot be assessed	OHX08PCP
.	Missing	OHX08PCP
0 to 9	Range of Values	OHX08PCS
99	Cannot be assessed	OHX08PCS
.	Missing	OHX08PCS
-6 to 2	Range of Values	OHX09CJA
99	Cannot be assessed	OHX09CJA
.	Missing	OHX09CJA
-8 to 2	Range of Values	OHX09CJD
99	Cannot be assessed	OHX09CJD
.	Missing	OHX09CJD
-7 to 1	Range of Values	OHX09CJL
99	Cannot be assessed	OHX09CJL
.	Missing	OHX09CJL
-7 to 2	Range of Values	OHX09CJM
99	Cannot be assessed	OHX09CJM
.	Missing	OHX09CJM
-7 to 2	Range of Values	OHX09CJP
99	Cannot be assessed	OHX09CJP
.	Missing	OHX09CJP
-6 to 2	Range of Values	OHX09CJS
99	Cannot be assessed	OHX09CJS
.	Missing	OHX09CJS
0 to 11	Range of Values	OHX09LAA
99	Cannot be assessed	OHX09LAA
.	Missing	OHX09LAA
0 to 10	Range of Values	OHX09LAD
99	Cannot be assessed	OHX09LAD
.	Missing	OHX09LAD
0 to 10	Range of Values	OHX09LAL
99	Cannot be assessed	OHX09LAL
.	Missing	OHX09LAL
0 to 10	Range of Values	OHX09LAM
99	Cannot be assessed	OHX09LAM
.	Missing	OHX09LAM
0 to 11	Range of Values	OHX09LAP
99	Cannot be assessed	OHX09LAP
.	Missing	OHX09LAP
0 to 11	Range of Values	OHX09LAS
99	Cannot be assessed	OHX09LAS
.	Missing	OHX09LAS
0 to 8	Range of Values	OHX09PCA
99	Cannot be assessed	OHX09PCA
.	Missing	OHX09PCA
0 to 8	Range of Values	OHX09PCD
99	Cannot be assessed	OHX09PCD
.	Missing	OHX09PCD
0 to 6	Range of Values	OHX09PCL
99	Cannot be assessed	OHX09PCL
.	Missing	OHX09PCL
0 to 10	Range of Values	OHX09PCM
99	Cannot be assessed	OHX09PCM
.	Missing	OHX09PCM
0 to 7	Range of Values	OHX09PCP
99	Cannot be assessed	OHX09PCP
.	Missing	OHX09PCP
0 to 10	Range of Values	OHX09PCS
99	Cannot be assessed	OHX09PCS
.	Missing	OHX09PCS
-8 to 2	Range of Values	OHX10CJA
99	Cannot be assessed	OHX10CJA
.	Missing	OHX10CJA
-6 to 2	Range of Values	OHX10CJD
99	Cannot be assessed	OHX10CJD
.	Missing	OHX10CJD
-6 to 2	Range of Values	OHX10CJL
99	Cannot be assessed	OHX10CJL
.	Missing	OHX10CJL
-6 to 1	Range of Values	OHX10CJM
99	Cannot be assessed	OHX10CJM
.	Missing	OHX10CJM
-6 to 2	Range of Values	OHX10CJP
99	Cannot be assessed	OHX10CJP
.	Missing	OHX10CJP
-8 to 2	Range of Values	OHX10CJS
99	Cannot be assessed	OHX10CJS
.	Missing	OHX10CJS
0 to 10	Range of Values	OHX10LAA
99	Cannot be assessed	OHX10LAA
.	Missing	OHX10LAA
0 to 12	Range of Values	OHX10LAD
99	Cannot be assessed	OHX10LAD
.	Missing	OHX10LAD
0 to 11	Range of Values	OHX10LAL
99	Cannot be assessed	OHX10LAL
.	Missing	OHX10LAL
0 to 9	Range of Values	OHX10LAM
99	Cannot be assessed	OHX10LAM
.	Missing	OHX10LAM
0 to 12	Range of Values	OHX10LAP
99	Cannot be assessed	OHX10LAP
.	Missing	OHX10LAP
0 to 11	Range of Values	OHX10LAS
99	Cannot be assessed	OHX10LAS
.	Missing	OHX10LAS
0 to 8	Range of Values	OHX10PCA
99	Cannot be assessed	OHX10PCA
.	Missing	OHX10PCA
0 to 8	Range of Values	OHX10PCD
99	Cannot be assessed	OHX10PCD
.	Missing	OHX10PCD
0 to 9	Range of Values	OHX10PCL
99	Cannot be assessed	OHX10PCL
.	Missing	OHX10PCL
0 to 8	Range of Values	OHX10PCM
99	Cannot be assessed	OHX10PCM
.	Missing	OHX10PCM
0 to 9	Range of Values	OHX10PCP
99	Cannot be assessed	OHX10PCP
.	Missing	OHX10PCP
0 to 7	Range of Values	OHX10PCS
99	Cannot be assessed	OHX10PCS
.	Missing	OHX10PCS
-8 to 2	Range of Values	OHX11CJA
99	Cannot be assessed	OHX11CJA
.	Missing	OHX11CJA
-11 to 2	Range of Values	OHX11CJD
99	Cannot be assessed	OHX11CJD
.	Missing	OHX11CJD
-8 to 2	Range of Values	OHX11CJL
99	Cannot be assessed	OHX11CJL
.	Missing	OHX11CJL
-12 to 1	Range of Values	OHX11CJM
99	Cannot be assessed	OHX11CJM
.	Missing	OHX11CJM
-8 to 2	Range of Values	OHX11CJP
99	Cannot be assessed	OHX11CJP
.	Missing	OHX11CJP
-11 to 2	Range of Values	OHX11CJS
99	Cannot be assessed	OHX11CJS
.	Missing	OHX11CJS
0 to 13	Range of Values	OHX11LAA
99	Cannot be assessed	OHX11LAA
.	Missing	OHX11LAA
0 to 15	Range of Values	OHX11LAD
99	Cannot be assessed	OHX11LAD
.	Missing	OHX11LAD
0 to 13	Range of Values	OHX11LAL
99	Cannot be assessed	OHX11LAL
.	Missing	OHX11LAL
0 to 14	Range of Values	OHX11LAM
99	Cannot be assessed	OHX11LAM
.	Missing	OHX11LAM
0 to 14	Range of Values	OHX11LAP
99	Cannot be assessed	OHX11LAP
.	Missing	OHX11LAP
0 to 15	Range of Values	OHX11LAS
99	Cannot be assessed	OHX11LAS
.	Missing	OHX11LAS
0 to 9	Range of Values	OHX11PCA
99	Cannot be assessed	OHX11PCA
.	Missing	OHX11PCA
0 to 9	Range of Values	OHX11PCD
99	Cannot be assessed	OHX11PCD
.	Missing	OHX11PCD
0 to 11	Range of Values	OHX11PCL
99	Cannot be assessed	OHX11PCL
.	Missing	OHX11PCL
0 to 10	Range of Values	OHX11PCM
99	Cannot be assessed	OHX11PCM
.	Missing	OHX11PCM
0 to 8	Range of Values	OHX11PCP
99	Cannot be assessed	OHX11PCP
.	Missing	OHX11PCP
0 to 8	Range of Values	OHX11PCS
99	Cannot be assessed	OHX11PCS
.	Missing	OHX11PCS
-6 to 2	Range of Values	OHX12CJA
99	Cannot be assessed	OHX12CJA
.	Missing	OHX12CJA
-9 to 2	Range of Values	OHX12CJD
99	Cannot be assessed	OHX12CJD
.	Missing	OHX12CJD
-10 to 2	Range of Values	OHX12CJL
99	Cannot be assessed	OHX12CJL
.	Missing	OHX12CJL
-10 to 2	Range of Values	OHX12CJM
99	Cannot be assessed	OHX12CJM
.	Missing	OHX12CJM
-11 to 2	Range of Values	OHX12CJP
99	Cannot be assessed	OHX12CJP
.	Missing	OHX12CJP
-8 to 2	Range of Values	OHX12CJS
99	Cannot be assessed	OHX12CJS
.	Missing	OHX12CJS
0 to 11	Range of Values	OHX12LAA
99	Cannot be assessed	OHX12LAA
.	Missing	OHX12LAA
0 to 13	Range of Values	OHX12LAD
99	Cannot be assessed	OHX12LAD
.	Missing	OHX12LAD
0 to 13	Range of Values	OHX12LAL
99	Cannot be assessed	OHX12LAL
.	Missing	OHX12LAL
0 to 10	Range of Values	OHX12LAM
99	Cannot be assessed	OHX12LAM
.	Missing	OHX12LAM
0 to 15	Range of Values	OHX12LAP
99	Cannot be assessed	OHX12LAP
.	Missing	OHX12LAP
0 to 12	Range of Values	OHX12LAS
99	Cannot be assessed	OHX12LAS
.	Missing	OHX12LAS
0 to 8	Range of Values	OHX12PCA
99	Cannot be assessed	OHX12PCA
.	Missing	OHX12PCA
0 to 8	Range of Values	OHX12PCD
99	Cannot be assessed	OHX12PCD
.	Missing	OHX12PCD
0 to 6	Range of Values	OHX12PCL
99	Cannot be assessed	OHX12PCL
.	Missing	OHX12PCL
0 to 6	Range of Values	OHX12PCM
99	Cannot be assessed	OHX12PCM
.	Missing	OHX12PCM
0 to 8	Range of Values	OHX12PCP
99	Cannot be assessed	OHX12PCP
.	Missing	OHX12PCP
0 to 8	Range of Values	OHX12PCS
99	Cannot be assessed	OHX12PCS
.	Missing	OHX12PCS
-8 to 1	Range of Values	OHX13CJA
99	Cannot be assessed	OHX13CJA
.	Missing	OHX13CJA
-10 to 2	Range of Values	OHX13CJD
